"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5903","Karnataka","Construction of buildings for community cultural activities","WS/MP18364/2025-2026/172649","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","29-Sep-2025","S K REVADI CONSTRUCTION","Payment Success","75000"
"5904","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/152607","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","09-Mar-2026","JAHID","Payment Success","3705"
"5905","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/152607","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","09-Mar-2026","FAJJI","Payment Success","3705"
"5906","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2025-2026/223911","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","28-Oct-2025","Hirapur Gram Panchayat","Payment Success","500000"
"5907","Gujarat","Construction of culverts and bridges","WS/MP18288/2025-2026/223906","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","06-Oct-2025","Hirapur Gram Panchayat","Payment Success","500000"
"5908","Gujarat","Construction of culverts and bridges","WS/MP18288/2025-2026/223907","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","03-Oct-2025","Vav Gram Panchayat","Payment Success","500000"
"5909","Kerala","Purchase of vans and buses for educational institutions","WS/MP101/2025-2026/176096","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","09-Oct-2025","Head Master Bharatheeya Vidya Mandiram UPS  Kidangoor","Payment Success","40254"
"5910","Gujarat","Construction of culverts and bridges","WS/MP18288/2025-2026/223905","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","03-Oct-2025","Jaban Gram Panchayat","Payment Success","500000"
"5911","Gujarat","Construction of culverts and bridges","WS/MP18288/2025-2026/223903","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","20-Sep-2025","Fulpari Gram Panchayat","Payment Success","500000"
"5912","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2025-2026/158953","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","05-Jan-2026","Brijmohan Chauhan","Payment Success","349475"
